,count,q
detail,1,0.000241196333815726
瞄後發現,1,0.000241196333815726
胸肺,1,0.000241196333815726
石門京瑞廣場,1,0.000241196333815726
樂園,1,0.000241196333815726
及迪欣湖,1,0.000241196333815726
火車,1,0.000241196333815726
科技部,1,0.000241196333815726
管理局,1,0.000241196333815726
1289,1,0.000241196333815726
賓來,1,0.000241196333815726
由菲律,1,0.000241196333815726
第二次,1,0.000241196333815726
收銀,1,0.000241196333815726
曾會面,1,0.000241196333815726
1272,1,0.000241196333815726
1274,1,0.000241196333815726
1264,1,0.000241196333815726
1233,1,0.000241196333815726
肯德基,1,0.000241196333815726
半小時,1,0.000241196333815726
石梨貝,1,0.000241196333815726
水塘,1,0.000241196333815726
行山,1,0.000241196333815726
異樣,1,0.000241196333815726
埃塞,1,0.000241196333815726
晚出,1,0.000241196333815726
玉石,1,0.000241196333815726
樓一,1,0.000241196333815726
西鐵期,1,0.000241196333815726
清晨,1,0.000241196333815726
健榮,1,0.000241196333815726
et5611,1,0.000241196333815726
美源,1,0.000241196333815726
燒味,1,0.000241196333815726
中華,1,0.000241196333815726
坑口,1,0.000241196333815726
日到荃灣麗城,1,0.000241196333815726
皇朝,1,0.000241196333815726
拔萃,1,0.000241196333815726
男書院,1,0.000241196333815726
附屬,1,0.000241196333815726
以車,1,0.000241196333815726
小學見,1,0.000241196333815726
萬麗,1,0.000241196333815726
則到荃灣,1,0.000241196333815726
牛涮鍋,1,0.000241196333815726
晚餐,1,0.000241196333815726
海逸,1,0.000241196333815726
燒症,1,0.000241196333815726
家長,1,0.000241196333815726
冷及,1,0.000241196333815726
內常,1,0.000241196333815726
沒有光,1,0.000241196333815726
扶輪,1,0.000241196333815726
最後上學,1,0.000241196333815726
沒親,1,0.000241196333815726
身到過,1,0.000241196333815726
吃過,1,0.000241196333815726
外賣,1,0.000241196333815726
促症,1,0.000241196333815726
教琴,1,0.000241196333815726
該店,1,0.000241196333815726
不能,1,0.000241196333815726
嘔吐症,1,0.000241196333815726
1300,1,0.000241196333815726
1299,1,0.000241196333815726
壽司部,1,0.000241196333815726
學琴,1,0.000241196333815726
配藥,1,0.000241196333815726
職助護,1,0.000241196333815726
一診,1,0.000241196333815726
1153,1,0.000241196333815726
1154,1,0.000241196333815726
1134,1,0.000241196333815726
1142,1,0.000241196333815726
1145,1,0.000241196333815726
1164,1,0.000241196333815726
1133,1,0.000241196333815726
1163,1,0.000241196333815726
因中風,1,0.000241196333815726
緊急,1,0.000241196333815726
運送,1,0.000241196333815726
發高燒,1,0.000241196333815726
敗血病,1,0.000241196333815726
1183,1,0.000241196333815726
1157,1,0.000241196333815726
1182,1,0.000241196333815726
1149,1,0.000241196333815726
1261,1,0.000241196333815726
此前,1,0.000241196333815726
並無,1,0.000241196333815726
除同,1,0.000241196333815726
及母,1,0.000241196333815726
親外,1,0.000241196333815726
其後已,1,0.000241196333815726
1140,1,0.000241196333815726
退燒,1,0.000241196333815726
1113,1,0.000241196333815726
1112,1,0.000241196333815726
1117,1,0.000241196333815726
1116,1,0.000241196333815726
1127,1,0.000241196333815726
1126,1,0.000241196333815726
親則,1,0.000241196333815726
狀到,1,0.000241196333815726
1188,1,0.000241196333815726
1185,1,0.000241196333815726
藍田向,1,0.000241196333815726
鄰近,1,0.000241196333815726
肉店,1,0.000241196333815726
美田,1,0.000241196333815726
1231,1,0.000241196333815726
1245,1,0.000241196333815726
1236,1,0.000241196333815726
1241,1,0.000241196333815726
1238,1,0.000241196333815726
屬獲,1,0.000241196333815726
哈薩克及,1,0.000241196333815726
數日,1,0.000241196333815726
因獲,1,0.000241196333815726
1132,1,0.000241196333815726
1240,1,0.000241196333815726
1193,1,0.000241196333815726
現嘔,1,0.000241196333815726
1221,1,0.000241196333815726
1186,1,0.000241196333815726
非洲,1,0.000241196333815726
毛里,1,0.000241196333815726
塔尼,1,0.000241196333815726
1200,1,0.000241196333815726
1199,1,0.000241196333815726
1228,1,0.000241196333815726
1203,1,0.000241196333815726
1202,1,0.000241196333815726
1210,1,0.000241196333815726
1209,1,0.000241196333815726
1213,1,0.000241196333815726
1212,1,0.000241196333815726
1224,1,0.000241196333815726
關始,1,0.000241196333815726
部繼續,1,0.000241196333815726
診所留,1,0.000241196333815726
海員過,1,0.000241196333815726
沒到,1,0.000241196333815726
過該,1,0.000241196333815726
fedex,1,0.000241196333815726
喜來,1,0.000241196333815726
鼎泰豐,1,0.000241196333815726
從菲律,1,0.000241196333815726
室員工,1,0.000241196333815726
賓到,1,0.000241196333815726
回菲律賓,1,0.000241196333815726
1425,1,0.000241196333815726
1424,1,0.000241196333815726
土瓜灣嶺,1,0.000241196333815726
南大廈,1,0.000241196333815726
佐敦維亞軒,1,0.000241196333815726
由亞博,1,0.000241196333815726
1511,1,0.000241196333815726
實驗,1,0.000241196333815726
爭鮮壽司,1,0.000241196333815726
1352,1,0.000241196333815726
行動,1,0.000241196333815726
自如,1,0.000241196333815726
港泰,1,0.000241196333815726
中慶祝父,1,0.000241196333815726
親節,1,0.000241196333815726
鄰座,1,0.000241196333815726
甚少,1,0.000241196333815726
af188,1,0.000241196333815726
1292,1,0.000241196333815726
診後被,1,0.000241196333815726
日由德國,1,0.000241196333815726
阿塞拜疆,1,0.000241196333815726
光顧彬,1,0.000241196333815726
阿爾及,1,0.000241196333815726
青松,1,0.000241196333815726
患為,1,0.000241196333815726
女病人,1,0.000241196333815726
事文職,1,0.000241196333815726
水吧,1,0.000241196333815726
莎莎化妝品,1,0.000241196333815726
到位,1,0.000241196333815726
柴灣明,1,0.000241196333815726
報大廈,1,0.000241196333815726
愛聰閣,1,0.000241196333815726
開會,1,0.000241196333815726
人參,1,0.000241196333815726
結果屬,1,0.000241196333815726
須再,1,0.000241196333815726
莎莎員工,1,0.000241196333815726
1372,1,0.000241196333815726
潮福,1,0.000241196333815726
該會議,1,0.000241196333815726
簡報,1,0.000241196333815726
藍田麗,1,0.000241196333815726
正職,1,0.000241196333815726
現階段,1,0.000241196333815726
並非確,1,0.000241196333815726
故簡,1,0.000241196333815726
報會,1,0.000241196333815726
康德,1,0.000241196333815726
大馬路,1,0.000241196333815726
為家務,1,0.000241196333815726
嘉嘉好,1,0.000241196333815726
曾見,1,0.000241196333815726
過兒子,1,0.000241196333815726
連老師,1,0.000241196333815726
泳池,1,0.000241196333815726
萬年,1,0.000241196333815726
戲院,1,0.000241196333815726
宴會廳,1,0.000241196333815726
分泌,1,0.000241196333815726
道教,1,0.000241196333815726
紀念,1,0.000241196333815726
1510,1,0.000241196333815726
溝通,1,0.000241196333815726
同意,1,0.000241196333815726
不為,1,0.000241196333815726
施行,1,0.000241196333815726
多以,1,0.000241196333815726
安康,1,0.000241196333815726
作為,1,0.000241196333815726
天深,1,0.000241196333815726
大本,1,0.000241196333815726
營莎莎化妝品,1,0.000241196333815726
錯誤,1,0.000241196333815726
優才,1,0.000241196333815726
書院,1,0.000241196333815726
交通工具,1,0.000241196333815726
城莎莎,1,0.000241196333815726
僱主同,1,0.000241196333815726
貨機機,1,0.000241196333815726
妻女,1,0.000241196333815726
時到,1,0.000241196333815726
1318,1,0.000241196333815726
1332,1,0.000241196333815726
1331,1,0.000241196333815726
肝功能,1,0.000241196333815726
組人員,1,0.000241196333815726
衰竭,1,0.000241196333815726
大約,1,0.000241196333815726
45,1,0.000241196333815726
面交,1,0.000241196333815726
日班,1,0.000241196333815726
租用,1,0.000241196333815726
1322,1,0.000241196333815726
有多種,1,0.000241196333815726
山景,1,0.000241196333815726
1293,1,0.000241196333815726
天晉,1,0.000241196333815726
晉海,1,0.000241196333815726
補充,1,0.000241196333815726
有替,1,0.000241196333815726
1329,1,0.000241196333815726
並交談,1,0.000241196333815726
灣灣,1,0.000241196333815726
設雋妍,1,0.000241196333815726
第一座,1,0.000241196333815726
離間,1,0.000241196333815726
意樓,1,0.000241196333815726
星晨樓,1,0.000241196333815726
鐵閘,1,0.000241196333815726
宣道,1,0.000241196333815726
會陳瑞芝,1,0.000241196333815726
進食,1,0.000241196333815726
轉飛,1,0.000241196333815726
電氣,1,0.000241196333815726
恩平,1,0.000241196333815726
除上,1,0.000241196333815726
學外,1,0.000241196333815726
老師,1,0.000241196333815726
畫畫,1,0.000241196333815726
安達,1,0.000241196333815726
孝達樓,1,0.000241196333815726
過彬記,1,0.000241196333815726
朱正賢小學,1,0.000241196333815726
1378,1,0.000241196333815726
太和,1,0.000241196333815726
職車,1,0.000241196333815726
九龍,1,0.000241196333815726
城浸,1,0.000241196333815726
信會禧,1,0.000241196333815726
1385,1,0.000241196333815726
過女,1,0.000241196333815726
支氣管,1,0.000241196333815726
支氣,1,0.000241196333815726
已康,1,0.000241196333815726
其妻,1,0.000241196333815726
徵的,1,0.000241196333815726
定性,1,0.000241196333815726
小巴,1,0.000241196333815726
鐵站,1,0.000241196333815726
葵芳港,1,0.000241196333815726
大巴,1,0.000241196333815726
搭酒店,1,0.000241196333815726
並已,1,0.000241196333815726
有血,1,0.000241196333815726
核酸,1,0.000241196333815726
白雲機場,1,0.000241196333815726
同其,1,0.000241196333815726
親帶,1,0.000241196333815726
檢疫及,1,0.000241196333815726
未加強,1,0.000241196333815726
先確診,1,0.000241196333815726
902,1,0.000241196333815726
日有頭,1,0.000241196333815726
956,1,0.000241196333815726
曾往,1,0.000241196333815726
巴拉圭,1,0.000241196333815726
日測試,1,0.000241196333815726
珊瑚,1,0.000241196333815726
princess,1,0.000241196333815726
檢驗後證,1,0.000241196333815726
實確診,1,0.000241196333815726
988,1,0.000241196333815726
884,1,0.000241196333815726
傭工為,1,0.000241196333815726
coral,1,0.000241196333815726
及後在,1,0.000241196333815726
檢疫期,1,0.000241196333815726
完畢,1,0.000241196333815726
看牙醫,1,0.000241196333815726
文華東方,1,0.000241196333815726
服務式,1,0.000241196333815726
住宅,1,0.000241196333815726
醫生並,1,0.000241196333815726
706,1,0.000241196333815726
萬邦行,1,0.000241196333815726
六口,1,0.000241196333815726
1009,1,0.000241196333815726
他則,1,0.000241196333815726
八鄉,1,0.000241196333815726
檢疫後再,1,0.000241196333815726
其他人,1,0.000241196333815726
1044,1,0.000241196333815726
傭及,1,0.000241196333815726
兩次,1,0.000241196333815726
所大廈,1,0.000241196333815726
親檢測,1,0.000241196333815726
餘味覺,1,0.000241196333815726
徵後亦,1,0.000241196333815726
994,1,0.000241196333815726
以後已,1,0.000241196333815726
試後呈陽性,1,0.000241196333815726
一度,1,0.000241196333815726
亞博留,1,0.000241196333815726
為維珍,1,0.000241196333815726
及取,1,0.000241196333815726
行李,1,0.000241196333815726
崗位,1,0.000241196333815726
1028,1,0.000241196333815726
1027,1,0.000241196333815726
其後病,1,0.000241196333815726
分流,1,0.000241196333815726
女朋友,1,0.000241196333815726
976,1,0.000241196333815726
843,1,0.000241196333815726
479,1,0.000241196333815726
833,1,0.000241196333815726
因環境,1,0.000241196333815726
診所運作,1,0.000241196333815726
一天,1,0.000241196333815726
打鼓,1,0.000241196333815726
屬陽性,1,0.000241196333815726
科門診,1,0.000241196333815726
必勝客,1,0.000241196333815726
水薄餅,1,0.000241196333815726
博士,1,0.000241196333815726
及哈薩克,1,0.000241196333815726
及芬蘭,1,0.000241196333815726
指出,1,0.000241196333815726
夜間,1,0.000241196333815726
適經,1,0.000241196333815726
日所取,1,0.000241196333815726
返港後接,1,0.000241196333815726
526,1,0.000241196333815726
在灣,1,0.000241196333815726
仔益,1,0.000241196333815726
誠樓,1,0.000241196333815726
並將,1,0.000241196333815726
分租,1,0.000241196333815726
834,1,0.000241196333815726
給第,1,0.000241196333815726
廁所,1,0.000241196333815726
461,1,0.000241196333815726
夫妻,1,0.000241196333815726
環及灣,1,0.000241196333815726
為尼泊爾,1,0.000241196333815726
週期,1,0.000241196333815726
共用,1,0.000241196333815726
自往,1,0.000241196333815726
數值,1,0.000241196333815726
880,1,0.000241196333815726
centre,1,0.000241196333815726
stage,1,0.000241196333815726
爸爸,1,0.000241196333815726
及後感覺,1,0.000241196333815726
有感,1,0.000241196333815726
覺到,1,0.000241196333815726
曾光顧,1,0.000241196333815726
故留,1,0.000241196333815726
及後進行,1,0.000241196333815726
及美國,1,0.000241196333815726
629,1,0.000241196333815726
777,1,0.000241196333815726
從亞洲,1,0.000241196333815726
博覽,1,0.000241196333815726
因擔,1,0.000241196333815726
499,1,0.000241196333815726
先後到,1,0.000241196333815726
慢跑,1,0.000241196333815726
897,1,0.000241196333815726
前員工,1,0.000241196333815726
958,1,0.000241196333815726
背痛,1,0.000241196333815726
957,1,0.000241196333815726
會議,1,0.000241196333815726
灣帝,1,0.000241196333815726
會者,1,0.000241196333815726
921,1,0.000241196333815726
上環,1,0.000241196333815726
利園,1,0.000241196333815726
夜晚,1,0.000241196333815726
信德,1,0.000241196333815726
對外,1,0.000241196333815726
邊個,1,0.000241196333815726
表兄弟,1,0.000241196333815726
乘包,1,0.000241196333815726
機經,1,0.000241196333815726
以外,1,0.000241196333815726
待查,1,0.000241196333815726
輕微頭,1,0.000241196333815726
傭工同,1,0.000241196333815726
及偉華,1,0.000241196333815726
和平,1,0.000241196333815726
一晚,1,0.000241196333815726
餐室,1,0.000241196333815726
達成,1,0.000241196333815726
藥房,1,0.000241196333815726
對面,1,0.000241196333815726
晨運,1,0.000241196333815726
機協助,1,0.000241196333815726
並需,1,0.000241196333815726
意樂餐,1,0.000241196333815726
注射,1,0.000241196333815726
顯田,1,0.000241196333815726
之後因,1,0.000241196333815726
除了,1,0.000241196333815726
1086,1,0.000241196333815726
間告,1,0.000241196333815726
病假,1,0.000241196333815726
救護員,1,0.000241196333815726
號個案,1,0.000241196333815726
過夜,1,0.000241196333815726
眼罩,1,0.000241196333815726
高風險,1,0.000241196333815726
程序,1,0.000241196333815726
n95,1,0.000241196333815726
呼吸器,1,0.000241196333815726
一城,1,0.000241196333815726
牛角,1,0.000241196333815726
外科,1,0.000241196333815726
1087,1,0.000241196333815726
強心針,1,0.000241196333815726
天留,1,0.000241196333815726
1105,1,0.000241196333815726
姑奶,1,0.000241196333815726
弟婦,1,0.000241196333815726
本及,1,0.000241196333815726
本測試,1,0.000241196333815726
其後退,1,0.000241196333815726
1108,1,0.000241196333815726
燒並,1,0.000241196333815726
檢疫前,1,0.000241196333815726
提交,1,0.000241196333815726
前並,1,0.000241196333815726
1109,1,0.000241196333815726
發燒並,1,0.000241196333815726
本檢測,1,0.000241196333815726
結束,1,0.000241196333815726
日離世,1,0.000241196333815726
狀數,1,0.000241196333815726
中曾,1,0.000241196333815726
檢測後證,1,0.000241196333815726
為照,1,0.000241196333815726
顧母親,1,0.000241196333815726
住家,1,0.000241196333815726
人家,1,0.000241196333815726
1097,1,0.000241196333815726
覺症,1,0.000241196333815726
1096,1,0.000241196333815726
只有,1,0.000241196333815726
暫離,1,0.000241196333815726
開住,1,0.000241196333815726
數分鐘,1,0.000241196333815726
1102,1,0.000241196333815726
1101,1,0.000241196333815726
前多數,1,0.000241196333815726
管鏡,1,0.000241196333815726
曾求診,1,0.000241196333815726
聯悅樓,1,0.000241196333815726
海城,1,0.000241196333815726
當日,1,0.000241196333815726
卓明,1,0.000241196333815726
樓樓,1,0.000241196333815726
經營,1,0.000241196333815726
流動鐘,1,0.000241196333815726
全列,1,0.000241196333815726
維修,1,0.000241196333815726
大嶼,1,0.000241196333815726
水上,1,0.000241196333815726
活動時,1,0.000241196333815726
手指,1,0.000241196333815726
受傷,1,0.000241196333815726
北大,1,0.000241196333815726
743,1,0.000241196333815726
日回,1,0.000241196333815726
十多人,1,0.000241196333815726
徵後轉,1,0.000241196333815726
1042,1,0.000241196333815726
叔叔,1,0.000241196333815726
過當,1,0.000241196333815726
地診,1,0.000241196333815726
所及,1,0.000241196333815726
參加葬禮,1,0.000241196333815726
社補習,1,0.000241196333815726
病徵及,1,0.000241196333815726
促病,1,0.000241196333815726
因病,1,0.000241196333815726
徵不嚴,1,0.000241196333815726
到荃灣,1,0.000241196333815726
楊屋,1,0.000241196333815726
1050,1,0.000241196333815726
日有氣,1,0.000241196333815726
負責到,1,0.000241196333815726
日感,1,0.000241196333815726
及後病,1,0.000241196333815726
隨父,1,0.000241196333815726
隨母,1,0.000241196333815726
故到,1,0.000241196333815726
取得,1,0.000241196333815726
已頭,1,0.000241196333815726
神智不清,1,0.000241196333815726
1081,1,0.000241196333815726
温控,1,0.000241196333815726
輸入,1,0.000241196333815726
水果,1,0.000241196333815726
包裝,1,0.000241196333815726
貼標,1,0.000241196333815726
女同事,1,0.000241196333815726
葵聯,1,0.000241196333815726
負責為,1,0.000241196333815726
痛加劇,1,0.000241196333815726
1082,1,0.000241196333815726
一年,1,0.000241196333815726
親戚,1,0.000241196333815726
及姨姨,1,0.000241196333815726
侄女,1,0.000241196333815726
妯娌,1,0.000241196333815726
寄宿,1,0.000241196333815726
同住者,1,0.000241196333815726
曾一度,1,0.000241196333815726
好轉,1,0.000241196333815726
海瑞,1,0.000241196333815726
日覺,1,0.000241196333815726
故聯,1,0.000241196333815726
其婚禮,1,0.000241196333815726
1075,1,0.000241196333815726
1074,1,0.000241196333815726
海麗,1,0.000241196333815726
864,1,0.000241196333815726
兒位,1,0.000241196333815726
同班,1,0.000241196333815726
女書院,1,0.000241196333815726
聖嘉勒,1,0.000241196333815726
非護士,1,0.000241196333815726
診斷,1,0.000241196333815726
電子,1,0.000241196333815726
保祿,1,0.000241196333815726
張凝文學校,1,0.000241196333815726
貿易場,1,0.000241196333815726
金銀業,1,0.000241196333815726
1665,1,0.000241196333815726
1956,1,0.000241196333815726
1783,1,0.000241196333815726
1907,1,0.000241196333815726
1903,1,0.000241196333815726
1994,1,0.000241196333815726
1995,1,0.000241196333815726
1889,1,0.000241196333815726
陪同,1,0.000241196333815726
