,flag
 detail_zh1 月 21 日搭高鐵來港，同日,nt
出現,v
發燒,v
及,c
鼻塞,vn
，,v
於,p
西,f
九龍,m
站,n
被,p
發現,v
即,d
時送院。同行 4 名親人入住尖沙咀皇悅酒店， 1 月 22 日轉飛菲律賓馬尼拉。1 月 10 日,nt
獨自,v
前往,v
武漢,n
1,m
 月 ,nr
19,m
 日,t
由,p
乘坐,v
航班,n
深圳,LOC
再,d
經,v
羅湖,LOC
乘,v
東,v
鐵轉,v
馬,v
鐵,v
返,v
鞍山,LOC
因,p
到,v
威院,ORG
求,v
診後,v
入住,v
沙田帝逸酒店,LOC
。 1 月 21 日，,nz
患者,n
安排,v
入院,v
接受,v
隔離,vn
治,v
療。,n
需要,v
提供,v
氧氣協,nz
助,v
亦,d
要,v
藥物治療。1 月 19 日,nz
搭高鐵,v
港,LOC
屯門,ns
倚,v
嶺南庭。自 1 月 20 日起出現病徵，1 月 23 日到屯門醫院急症室,nt
醫時，,nr
院方,n
未有,v
空置,v
的,u
負壓,n
病房,n
醫生,n
她,r
轉,v
往,p
創傷,v
等候,v
近兩小時。潛伏期間,nz
曾,d
過菜市場,nr
和,c
醫院,n
探望,v
有,v
咳嗽,vn
家人,n
沒有,v
接觸,v
野生,a
動物,n
。,v
62 歲,m
女,a
與丈夫於 1 月 24 日從武漢來港,nr
居住,v
在,p
馬鞍山,LOC
銀湖天峰,LOC
女兒。,nz
二人,n
與,nr
女兒,n
醫，夫婦須,nr
兩名,m
不是,v
香港,LOC
居民,n
聽聞,nr
繳交,v
按,p
金,n
住院,v
費用,v
昂貴，,nz
因此,c
從急症室逃走，,nz
最,d
終,v
警員,vn
院外,s
阻截,v
帶回,v
男,a
妻子,n
 1 月 24 日從武漢來港,nt
最終,PER
醫院。曾訛稱任職「會計師」，,nt
實際,v
上,f
是,v
武昌,LOC
白沙洲,LOC
市場,v
收,v
銀員。,nr
狗,n
咬,v
而,c
 1 月 23 日到律敦治醫院,nt
醫，當時無發燒，1 月 24 日,nr
再次,d
， 1 月 25 日留院,nt
 2 月 18 日出院。該名 68 歲,nt
女子,n
居於,v
， 1 月 9 日至 18 日,nz
武漢探親，,nz
不,d
適,v
深圳醫院,ORG
醫，測試結果,nr
只,d
對,v
甲型,n
流感,n
呈,v
陽性,n
反應,v
肺片,n
清晰,ad
出院,v
 月 25 日,nr
回,v
入境,v
時發,v
燒，,nr
送到,v
北區醫院,ORG
其,r
丈夫,n
本港,r
家居,n
接觸者,n
64 歲,m
長期,n
病,n
武漢市，1 月 19 日與妻子 （第 #3 宗個案,nz
） 乘,v
搭,v
高,a
鐵經,v
深圳北,LOC
達西,PER
九龍站，探望女兒,nz
女婿,n
並,v
嶺南庭。1 月 24 日,nr
麥理浩夫人度假村,LOC
檢疫。 1 月 26 日發燒，並到屯門醫院,nt
療,n
該,v
名女,n
 1 月 ,nr
22 日,m
飛機,v
，隨,v
 W 酒店。數天後,nt
又,d
住,v
四季,TIME
酒店,n
該酒店,LOC
逗留,v
數小時，,nr
惟,d
不太,d
合作,v
行程,n
未能,v
確實,v
名男,n
 W 酒店，數天後,nt
四季酒店,LOC
但,c
最後,v
數小時，之後,nr
適送,v
院,n
第 #9 及 #10 確診個案,nz
女兒，,nz
或,c
成為,v
全港,n
首宗,m
「,v
人,n
傳人,v
」個案。該,nr
油麻,a
地,u
御,v
金國峰,PER
 1 月 28 日出現咳嗽，1 月 30 日,nz
伊利沙伯醫院,ORG
醫並,nr
。 ,v
表示,v
住所,n
作,v
短暫,n
。該,n
名 ,v
75 歲,m
男子,n
居,v
青衣長康邨康美樓，於 1 月 22 日咳嗽及呼吸困難，1 月 24 日到瑪嘉烈醫院,nt
內科,n
療，1 月 30 日確診並,nr
他,r
 2019 年 12 月 30 日,nz
至,p
 2020 年 1 月 7 日,nz
訪順德,PER
診,n
所求,v
醫，1 月 ,nr
10,m
 至 14 日,nz
訪澳門。,nr
病患,n
黃埔花園 11 期 1 座。1 月 21 日,nz
探親,v
 月 23 日長沙南站乘搭高鐵回港。1 月 29 日起,nt
肌肉,n
痛，1 月 31 日,nr
開始,v
療，,n
後轉,nr
瑪,v
嘉烈醫院,ORG
 2 月 4 日,nr
去世,v
葵涌邨綠葵樓。1 月 10 日經羅湖口岸到內地逗留數小時， 1 月 17 日,nt
東京， 1 月 20 日在橫濱上郵輪， 1 月 25 日到啟德碼頭。1 月 19 日咳嗽， 1 月 30 日發燒並到明愛醫院,nt
醫。,PER
 2 月 18 日出院。該,nt
第 #13 確診個案,nz
母親。 1 月 31 日第 13 宗確診個案,nz
後,v
營,v
發病,v
。女,n
半山壹號，,nz
佐敦恆豐中心開店。 1 月 23 日,nt
佐敦,LOC
嘉賓,n
大廈診,nr
醫； 1 月 30 日發燒，,nr
另外,r
診。 2 月 1 日,nr
普通,a
， 2 月 2 日伊利沙伯醫院隔離， 2 月 3 日轉送瑪嘉烈。,nt
過去,v
 ,v
14 日,m
外遊紀錄。,nz
已,d
退休,v
住在,v
藍田康田苑裕康閣。 1 月 22 日起,nt
疲倦,an
， 1 月 30 日有氣喘，,nz
分別,v
23,m
、,v
25,m
29 日,m
向,p
不同,a
診，,n
包括,v
九龍灣卓健醫療診所。 1 月 31 日到過,nz
聯合,v
將軍澳醫院,nt
醫院急症室,nt
時間,n
太,d
長,a
離,v
14 天內,m
外,f
遊。,v
土瓜灣馬頭圍道 183 號， 1 月 14 日,nz
浸會,v
醫，確診,nr
感染,v
甲型流感，獲處方特敏福，,nz
未,d
退,v
。 2 月 3 日到浸會醫院照肺片，,nz
後轉介,nr
醫。報稱,nr
近期,t
 2 月 12 日出院。該,nt
第 #17 宗確診個案,nz
女兒。 2 月 4 日發燒，,nz
。 2 月 4 日發燒，,nr
青衣,PER
灝景,v
灣,v
一座,m
工作,vn
，長期,n
往返,v
兩地,n
 1 月 21,nz
過,v
 1 月 28 日,nz
從,v
東京，,n
 2 月 1 日,nz
快,d
運,v
航空,n
 UO651 ,nr
東京返港,ns
 1 月 30 日出現發燒、,nz
痰,n
喉,n
嚨,v
痛,an
徵狀， 2 月 2 日,nz
私家,n
診， 2 月 4 日由救護車,nr
送往,v
嘉烈醫院，,nt
直接,ad
送入,v
第 #21 宗確診個案,nz
太太,n
。  ,nr
早前,t
東莞,v
， ,v
1月,TIME
 17 日回港。 1 月 28 至 2 月 1 日與,nz
日本,LOC
旅遊。回港後2,nz
、喉龍痛,nz
肚瀉,vn
徵狀， 2 月 2 日與,nz
一同,d
診。,nr
瑪嘉烈,PER
診，當時,nr
情況,n
輕微,v
2,m
 月 5 日,nr
得悉,v
確診後,PER
坐,v
的士,n
嘉烈醫院急症室,nt
2 名,m
離港,v
前,f
親友,n
拜年,v
 1 月 26 日,nz
中,f
醫,v
診；2 月 5 日向私家醫生,nz
東區醫院急症室,nt
醫，並,nr
療，現時情況,nr
穩定,v
轉送,v
 D11 ,nr
治理,v
筲箕灣道 142 至 146 號高望大樓，,nz
遊,v
，潛伏期內,nr
病發後,PER
